Name,Language,Date
Python-Projects-Beginner---Advanced- Public,A collection of Python projects from beginner to expert level.,Python
David-Odesomi Public,Updated,"Jun 3, 2026"
devops-starter Public,Shell Updated,"May 30, 2026"
devops-nginx-site Public,HTML Updated,"May 25, 2026"
Devops_Test Public,CSS Updated,"May 22, 2026"
Stock-Trader Public,Python Updated,"May 22, 2026"
Arisefunds Public,TypeScript Updated,"May 21, 2026"
aws-customer-service-bot Public,"A CLI-based AI customer service bot powered by AWS. Uses Lambda, API Gateway, Bedrock, DynamoDB, and S3 to handle customer queries with conversation history and a knowledge base.",Python Updated
Auto-Vault Public,"Automated cloud backup system built with AWS Lambda, S3, EventBridge, and SNS. A local Python script uploads files to S3 on a schedule, triggering a Lambda function to copy them to a backup bucket …",Python
AWS-Lambda-Add-Two-Numbers Public,A simple serverless function built on AWS Lambda that adds two numbers via an HTTP endpoint. Built as part of my cloud engineering learning path.,Python Updated
monexa Public,"It turns scattered spending into calm clarity, without noise or guilt.",TypeScript Updated
Tax-Naija Public,A straightforward Nigerian tax calculator.,CSS Updated
nextjs-dashboard Public,The nextjs dashboard from the vercel nextjs course,TypeScript Updated
Article-Summarizer Public,JavaScript Updated,"Nov 2, 2025"
leads-tracker-extension Public,A sleek Chrome extension for saving and managing leads/URLs with Netflix-inspired theme,JavaScript Updated
Overkill-Rock-Paper-Scissors Public,"A over complicated javascript game, that implements good sound effects and a betting system.",HTML Updated
